term_id,compact_name,label,comment,domain,range,sub_property_of,type,is_link_type,term_status,version,last_modified
gs1:inPackageDepth,inPackageDepth,In Package Depth,"The depth of the product in its packaging, as measured according to the GS1 Package Measurement Rules. See https://www.gs1.org/package-measurement-rules-implementation-guide for more details.",gs1:Product,gs1:QuantitativeValue,,rdf:Property; owl:ObjectProperty,false,stable,1.17,2025-11-18
gs1:inPackageDiameter,inPackageDiameter,In Package Diameter,"The measurement of the diameter of the product in its package at its largest point. For example, 165 MMT.",gs1:Product,gs1:QuantitativeValue,,owl:ObjectProperty; rdf:Property,false,stable,1.17,2025-11-18
gs1:inPackageHeight,inPackageHeight,In Package Height,"The height of the product in the package, as measured according to the GS1 Package Measurement Rules. See https://www.gs1.org/package-measurement-rules-implementation-guide for more details.",gs1:Product,gs1:QuantitativeValue,,rdf:Property; owl:ObjectProperty,false,stable,1.17,2025-11-18
gs1:inPackageWidth,inPackageWidth,In Package Width,"The width of the product in the package, as measured according to the GS1 Package Measurement Rules. See https://www.gs1.org/package-measurement-rules-implementation-guide for more details.",gs1:Product,gs1:QuantitativeValue,,rdf:Property; owl:ObjectProperty,false,stable,1.17,2025-11-18
gs1:instructions,instructions,Instructions,"A link to instructions, such as assembly instructions, usage tips etc. It is not appropriate to use this link type for healthcare regulated content applications for which specific link types are available.",owl:Thing,xsd:anyURI,gs1:linkType,rdf:Property; owl:ObjectProperty,true,stable,1.17,2025-11-18
gs1:instructionsForUse,instructionsForUse,Has Instructions For Use,Link to a file containing the Instructions For Use.,gs1:Product,gs1:ReferencedFileDetails,,owl:ObjectProperty; rdf:Property,false,stable,1.17,2025-11-18
gs1:iodinePerNutrientBasis,iodinePerNutrientBasis,Iodine Per Nutrient Basis Quantity,Iodine per specified nutrient basis quantity.,gs1:FoodBeverageTobaccoProduct,gs1:NutritionMeasurementType,,rdf:Property; owl:ObjectProperty,false,stable,1.17,2025-11-18
gs1:ironPerNutrientBasis,ironPerNutrientBasis,Iron Per Nutrient Basis Quantity,Iron per specified nutrient basis quantity.,gs1:FoodBeverageTobaccoProduct,gs1:NutritionMeasurementType,,owl:ObjectProperty; rdf:Property,false,stable,1.17,2025-11-18
gs1:irradiatedCode,irradiatedCode,Irradiated Code,Indicates if radiation has been applied to the product.,gs1:FoodBeverageTobaccoProduct,gs1:NonbinaryLogicCode,,owl:ObjectProperty; rdf:Property,false,stable,1.17,2025-11-18
gs1:isCarbonated,isCarbonated,Is Carbonated,Used to identify whether or not a beverage product is naturally effervescent or has been made effervescent by the addition of carbon dioxide gas.,gs1:Beverage,gs1:NonbinaryLogicCode,,owl:ObjectProperty; rdf:Property,false,stable,1.17,2025-11-18
